fid,srtm_36_04,X,Y
"1",930.0000000000,-3.1020833333,42.3920833330
"2",911.0000000000,-3.1012500000,42.3920833330
"3",909.0000000000,-3.1004166667,42.3920833330
"4",930.0000000000,-3.0995833333,42.3920833330
"5",951.0000000000,-3.0987500000,42.3920833330
"6",968.0000000000,-3.0979166667,42.3920833330
"7",982.0000000000,-3.0970833333,42.3920833330
"8",1008.0000000000,-3.0962500000,42.3920833330
"9",1030.0000000000,-3.0954166667,42.3920833330
"10",1019.0000000000,-3.0945833333,42.3920833330
"11",991.0000000000,-3.0937500000,42.3920833330
"12",975.0000000000,-3.0929166667,42.3920833330
"13",966.0000000000,-3.0920833333,42.3920833330
"14",948.0000000000,-3.0912500000,42.3920833330
"15",927.0000000000,-3.0904166667,42.3920833330
"16",910.0000000000,-3.0895833333,42.3920833330
"17",913.0000000000,-3.0887500000,42.3920833330
"18",929.0000000000,-3.0879166667,42.3920833330
"19",955.0000000000,-3.0870833333,42.3920833330
"20",978.0000000000,-3.0862500000,42.3920833330
"21",1001.0000000000,-3.0854166667,42.3920833330
"22",1029.0000000000,-3.0845833333,42.3920833330
"23",1043.0000000000,-3.0837500000,42.3920833330
"24",1051.0000000000,-3.0829166667,42.3920833330
"25",1066.0000000000,-3.0820833333,42.3920833330
"26",1070.0000000000,-3.0812500000,42.3920833330
"27",1079.0000000000,-3.0804166667,42.3920833330
"28",1089.0000000000,-3.0795833333,42.3920833330
"29",1096.0000000000,-3.0595833333,42.3920833330
"30",1105.0000000000,-3.0587500000,42.3920833330
"31",1103.0000000000,-3.0579166667,42.3920833330
"32",1098.0000000000,-3.0570833333,42.3920833330
"33",1089.0000000000,-3.0562500000,42.3920833330
"34",1068.0000000000,-3.0554166667,42.3920833330
"35",1042.0000000000,-3.0545833333,42.3920833330
"36",1027.0000000000,-3.0537500000,42.3920833330
"37",1031.0000000000,-3.0529166667,42.3920833330
"38",1040.0000000000,-3.0520833333,42.3920833330
"39",1040.0000000000,-3.0512500000,42.3920833330
"40",1027.0000000000,-3.0504166667,42.3920833330
"41",1008.0000000000,-3.0495833333,42.3920833330
"42",993.0000000000,-3.0487500000,42.3920833330
"43",984.0000000000,-3.0479166667,42.3920833330
"44",987.0000000000,-3.0470833333,42.3920833330
"45",1007.0000000000,-3.0462500000,42.3920833330
"46",1020.0000000000,-3.0454166667,42.3920833330
"47",1029.0000000000,-3.0445833333,42.3920833330
"48",1045.0000000000,-3.0437500000,42.3920833330
"49",1064.0000000000,-3.0429166667,42.3920833330
"50",1085.0000000000,-3.0420833333,42.3920833330
"51",1102.0000000000,-3.0412500000,42.3920833330
"52",1111.0000000000,-3.0404166667,42.3920833330
"53",1116.0000000000,-3.0395833333,42.3920833330
"54",1120.0000000000,-3.0387500000,42.3920833330
"55",1113.0000000000,-3.0379166667,42.3920833330
"56",1096.0000000000,-3.0370833333,42.3920833330
"57",1087.0000000000,-3.0362500000,42.3920833330
"58",1092.0000000000,-3.0354166667,42.3920833330
"59",1088.0000000000,-3.0345833333,42.3920833330
"60",1077.0000000000,-3.0337500000,42.3920833330
